id,milestone
152,TxtFontSizeColor
152,TxtIndentJustify
152,TxtStylesFormats
152,TxtViewSource
152,UnopenedData
152,UploadImage
165,AddImage
165,SEDragIn
165,SEDragResize
165,SimpleProjCreate
165,TxtBIUS
165,UploadImage
169,DeleteProj
169,ReEditProj
169,SEDeleteElement
169,SEDragResize
169,SimpleProjCreate
171,AddImage
171,CaptionedImages
171,CopyProj
171,DeleteProj
171,EditDefaultStyle
171,ImageProperties
171,InsertLinkAnchor
171,InsertList
171,InsertTableImage
171,LinkActivity
171,Location
171,ManageFilters
171,ManageTab
171,MobileFriendly
171,MultiImageElemen
171,OpenData
171,OpenReport
171,OpenReportList
171,OpensAndBounces
171,OpensByPlatform
171,PrevMobileVersio
171,PrevTextVersion
171,ProjPreview
171,PublishTemplate
171,ReEditProj
171,ReportsFilters
171,ReportsTab
171,ReSchedProj
171,SEBackColors
171,SEBorders
171,SEDeleteElement
171,SEDragIn
171,SEDragMove
171,SEDragResize
171,SELinkElements
171,SendNow
171,SEPadding
171,SetCompanyDefaul
171,SimpleProjCreate
171,SocialShareEleme
171,TestSend
171,ToggleSocialSite
171,TxtBIUS
171,TxtFontSizeColor
171,TxtIndentJustify
171,TxtMergeTags
171,TxtStylesFormats
171,TxtViewSource
171,UnopenedData
171,UploadImage
171,UserAgent
172,InsertLinkAnchor
172,InsertTableImage
172,LinkActivity
172,Location
172,ManageTab
172,MultiImageProper
172,OpenData
172,OpenReport
172,OpenReportList
172,OpensAndBounces
172,OpensByPlatform
172,ProjPreview
172,ReEditProj
172,ReportsTab
172,ReSchedProj
172,SEBackColors
172,SEBorders
172,SECreateColumn
172,SEDeleteElement
172,SEDragIn
172,SEDragMove
172,SEDragResize
172,SendNow
172,SEPadding
172,SimpleProjCreate
172,SubjectMergeTags
172,TxtFontSizeColor
172,TxtIndentJustify
172,TxtMergeTags
172,TxtViewSource
172,UnopenedData
172,UserAgent
182,ManageFilters
182,ManageTab
182,TableSort
183,AddImage
183,MultiImageElemen
183,PublishTemplate
183,ReEditProj
183,SECreateColumn
183,SEDeleteElement
183,SEDragIn
183,SEDragResize
183,SELinkElements
183,SimpleProjCreate
183,SocialFollowElem
183,SocialShareEleme
183,UploadImage
186,AddImage
186,CaptionedImages
186,InsertTableImage
186,ManageFilters
186,ManageTab
186,MultiImageElemen
186,OpenData
186,OpenReport
186,OpenReportList
186,ProjPreview
186,PublishTemplate
186,ReportsTab
186,SEDeleteElement
186,SEDragIn
186,SEDragMove
186,SELinkElements
186,SocialShareEleme
186,TestSend
186,ToggleSocialSite
186,TxtFontSizeColor
186,TxtStylesFormats
186,UnopenedData
187,InsertTableImage
187,SimpleProjCreate
191,CaptionedImages
191,InsertTableImage
191,SEDeleteElement
191,SEDragIn
191,SELinkElements
199,ManageTab
200,InsertList
200,ManageTab
200,ReportsTab
200,SEDeleteElement
200,SEDragIn
200,SEDragResize
200,TestSend
200,TxtBIUS
200,TxtIndentJustify
203,AddImage
203,ImageProperties
203,ManageTab
203,ReportsTab
203,SEDragIn
203,SendNow
203,SEPadding
203,SimpleProjCreate
203,SocialShareEleme
203,UploadImage
70018,UseBlankTemplate
70030,UseBlankTemplate
1106771,AddImage
1106771,CopyProj
1106771,DeleteProj
1106771,InsertLinkAnchor
1106771,InsertTableImage
1106771,ManageTab
1106771,MobileFriendly
1106771,ProjPreview
1106771,ReEditProj
1106771,ReportsTab
1106771,ReSchedProj
1106771,SEDragIn
1106771,SEDragResize
1106771,SendLater
1106771,SendNow
1106771,SimpleProjCreate
1106771,TestSend
1106771,UploadImage
1106771,UseBlankTemplate
1107305,UseBlankTemplate
1108387,AddImage
1108387,CaptionedImages
1108387,CopyProj
1108387,ImageProperties
1108387,InsertLinkAnchor
1108387,InsertList
